plotID,s2_dist,s2_dist_year,s2_dist_mag,s2_recovery,nbr_trend
ABBY_001,0,0,-0.025,,0.0051
ABBY_002,0,0,0.011,0.0255,0.0401
ABBY_003,0,0,-0.008,0.0031,0.0069
ABBY_004,0,0,0.005,,0.0596
ABBY_005,0,0,0.0,0.016,0.0153
ABBY_006,0,0,-0.025,0.0075,0.0047
ABBY_007,1,2017,-0.565,0.0672,0.0304
ABBY_008,0,0,-0.015,0.0097,0.0099
ABBY_009,0,0,0.002,,0.0447
ABBY_010,0,0,-0.011,,0.0022
ABBY_011,0,0,0.003,0.039,0.0515
ABBY_012,0,0,-0.017,,0.0369
ABBY_013,0,0,-0.014,,0.0519
ABBY_014,0,0,-0.024,,0.0044
ABBY_015,0,0,0.009,0.0331,0.0637
ABBY_016,0,0,-0.016,,0.0028
ABBY_017,0,0,-0.016,0.0058,0.0046
ABBY_018,0,0,0.002,0.0814,0.0835
ABBY_019,0,0,-0.051,0.0103,0.0075
ABBY_023,0,0,-0.01,0.0019,0.0026
ABBY_025,0,0,-0.022,-0.001,-0.002
ABBY_061,0,0,-0.007,,0.0096
ABBY_062,0,0,-0.017,0.0072,0.0073
ABBY_063,0,0,-0.035,0.0088,0.0042
ABBY_064,0,0,-0.009,0.0028,0.008
ABBY_065,0,0,-0.02,0.007,0.0077
ABBY_066,0,0,-0.034,0.0082,0.0096
ABBY_067,0,0,-0.011,0.0047,0.0082
ABBY_068,0,0,-0.011,0.0057,0.007
ABBY_069,0,0,-0.023,0.0088,0.0082
ABBY_070,0,0,-0.022,0.0073,0.0073
ABBY_073,0,0,-0.015,0.0069,0.0072
ABBY_074,0,0,-0.024,0.0081,0.0068
ABBY_075,0,0,-0.034,0.0083,0.0062
ABBY_076,0,0,-0.028,0.0121,0.0109
ABBY_077,0,0,0.003,,0.0412
BART_001,0,0,-0.025,-0.0003,-0.0018
BART_002,0,0,-0.031,0.0031,-0.0042
BART_003,0,0,-0.016,-0.0027,-0.0004
BART_004,0,0,-0.024,0.0003,0.0004
BART_005,0,0,-0.044,0.0003,-0.002
BART_006,0,0,-0.037,,-0.0022
BART_007,0,0,-0.04,0.0053,0.0008
BART_010,0,0,-0.02,0.0035,-0.0014
BART_011,0,0,-0.026,0.0022,0.005
BART_012,0,0,-0.011,-0.0016,-0.0017
BART_013,0,0,-0.03,-0.005,-0.0022
BART_015,0,0,-0.026,-0.0001,-0.0023
BART_016,0,0,-0.024,0.0004,-0.0022
BART_018,0,0,-0.019,0.0092,0.0034
BART_019,0,0,-0.039,0.0074,-0.003
BART_023,0,0,-0.017,0.0034,-0.0001
BART_024,0,0,-0.044,0.0138,0.0035
BART_025,0,0,-0.04,,0.0
BART_026,0,0,-0.02,,0.0009
BART_027,0,0,-0.073,0.0163,0.0022
BART_028,0,0,-0.038,0.0135,0.0027
BART_032,0,0,-0.047,0.0164,-0.0033
BART_033,0,0,-0.023,-0.0025,-0.0005
BART_034,0,0,-0.031,0.0027,0.0022
BART_036,0,0,-0.023,0.001,-0.0012
BART_037,0,0,-0.016,-0.0001,0.0
BART_039,0,0,-0.024,0.0011,0.002
BART_040,0,0,-0.017,0.004,-0.0029
BART_041,0,0,-0.033,-0.0004,0.0002
BART_042,0,0,-0.019,-0.0035,-0.0004
BART_044,0,0,-0.023,0.0033,0.0002
BART_046,0,0,-0.022,-0.004,0.0008
BART_047,0,0,-0.026,0.0086,-0.0016
BART_050,0,0,-0.02,0.0017,0.0036
BART_051,0,0,-0.027,0.0012,0.0004
BART_070,0,0,-0.014,0.0007,0.0025
BART_071,0,0,-0.031,0.0038,-0.0037
BART_072,0,0,-0.022,0.0017,0.0005
BART_073,0,0,-0.023,0.001,-0.0013
BART_074,0,0,-0.023,-0.0027,-0.0003
BART_075,0,0,-0.03,0.0017,0.0012
BLAN_001,0,0,-0.029,-0.0049,-0.003
BLAN_003,1,2023,-0.109,0.0301,0.0102
BLAN_004,1,2024,-0.265,,-0.0246
BLAN_005,0,0,-0.044,,-0.0037
BLAN_006,1,2019,-0.169,0.0226,0.0054
BLAN_007,0,0,-0.067,,-0.0088
BLAN_008,1,2023,-0.164,0.0828,0.0038
BLAN_009,0,0,-0.041,-0.0016,-0.0025
BLAN_010,1,2023,-0.199,0.1,-0.0038
BLAN_011,0,0,-0.059,,-0.0058
BLAN_012,0,0,-0.044,-0.0045,-0.0043
BLAN_013,0,0,-0.048,0.0033,-0.0094
BLAN_014,1,2023,-0.081,0.0585,0.0169
BLAN_015,0,0,-0.02,,-0.0036
BLAN_016,1,2023,-0.12,0.0541,0.0084
BLAN_017,0,0,-0.054,,-0.0069
BLAN_018,0,0,-0.042,,-0.0045
BLAN_019,1,2024,-0.194,,-0.0149
BLAN_020,1,2023,-0.206,0.1046,-0.003
BLAN_031,1,2017,-0.493,0.0171,0.0021
BLAN_032,0,0,-0.061,0.0048,0.0011
BLAN_033,1,2023,-0.319,0.2433,0.0326
BLAN_034,1,2023,-0.279,0.124,0.0177
BLAN_035,0,0,-0.055,-0.0032,-0.004
BLAN_036,0,0,-0.043,,-0.0019
BLAN_037,1,2017,-0.513,0.0143,-0.0004
BLAN_038,1,2023,-0.343,0.2142,0.0276
BLAN_039,1,2017,-0.623,0.0203,-0.0008
BLAN_040,1,2023,-0.342,0.2184,0.0442
BLAN_041,0,0,-0.035,0.0055,0.0014
BLAN_042,1,2017,-0.563,0.0214,0.0024
BLAN_043,1,2023,-0.3,0.2542,0.045
BLAN_044,0,0,-0.063,0.002,-0.0025
BLAN_045,1,2017,-0.595,0.0189,-0.0016
BLAN_046,1,2017,-0.507,0.0256,0.0105
BLAN_047,1,2019,-0.122,0.0075,-0.0038
BLAN_048,1,2025,-0.084,,-0.0026
BLAN_049,1,2023,-0.432,0.2352,0.0315
BLAN_050,0,0,-0.044,-0.0048,-0.0033
BLAN_051,1,2023,-0.195,0.1924,0.049
BLAN_052,0,0,-0.059,0.0036,0.0011
BLAN_053,0,0,-0.066,0.0051,0.0005
BLAN_054,1,2017,-0.48,0.0224,0.0083
BLAN_055,1,2021,-0.086,0.011,-0.0038
BLAN_056,1,2017,-0.447,0.0186,0.006
BLAN_057,1,2021,-0.084,0.0009,-0.0038
BLAN_059,1,2017,-0.461,0.0218,0.0113
BLAN_060,1,2023,-0.143,0.1786,0.0545
BLAN_063,1,2025,-0.085,,-0.0042
BLAN_064,1,2017,-0.51,0.0185,0.0028
BLAN_068,1,2024,-0.247,,-0.0191
GRSM_001,0,0,-0.022,,0.005
GRSM_002,0,0,-0.049,0.0027,0.0018
GRSM_003,0,0,-0.062,0.0072,0.0043
GRSM_004,0,0,-0.037,,0.0046
GRSM_005,0,0,-0.053,0.004,0.0027
GRSM_006,0,0,-0.042,0.0066,0.0055
GRSM_007,1,2017,-0.546,0.0525,0.0327
GRSM_008,0,0,-0.041,0.007,0.0048
GRSM_009,1,2017,-0.136,0.0091,0.0047
GRSM_010,0,0,-0.025,0.0012,0.0046
GRSM_011,0,0,-0.043,0.005,0.0037
GRSM_012,0,0,-0.06,0.004,0.0016
GRSM_013,0,0,-0.078,0.0036,0.0016
GRSM_014,0,0,-0.021,,0.004
GRSM_015,0,0,-0.041,0.0043,0.0036
GRSM_016,0,0,-0.028,,0.0052
GRSM_017,0,0,-0.008,0.0022,0.0045
GRSM_018,0,0,-0.05,0.0037,0.0022
GRSM_019,1,2017,-0.117,0.0064,0.0029
GRSM_025,0,0,-0.056,0.0018,0.0013
GRSM_047,1,2017,-0.37,0.0453,0.0271
GRSM_048,1,2017,-0.083,0.0062,0.0044
GRSM_049,1,2017,-0.178,0.0158,0.0094
GRSM_050,0,0,-0.021,0.0061,0.0059
GRSM_051,1,2017,-0.487,0.0619,0.0396
GRSM_052,1,2017,-0.228,0.0268,0.0161
GRSM_053,0,0,-0.036,,0.0053
GRSM_054,0,0,-0.047,0.0079,0.0069
GRSM_055,0,0,-0.034,,0.0058
GRSM_056,1,2017,-0.182,0.0205,0.0137
GRSM_057,0,0,-0.033,,0.0048
GRSM_058,0,0,-0.03,0.0009,0.0047
GRSM_059,1,2017,-0.182,0.0164,0.0085
GRSM_060,1,2017,-0.107,0.0072,0.0041
GRSM_061,0,0,-0.059,0.0081,0.0062
GRSM_062,1,2017,-0.682,0.0737,0.0451
GRSM_063,0,0,-0.033,0.0074,0.0073
GRSM_064,0,0,-0.046,0.0076,0.0077
GRSM_065,0,0,-0.048,0.0091,0.0079
GRSM_066,0,0,-0.024,,0.0062
HARV_001,0,0,-0.046,0.006,0.0055
HARV_002,0,0,-0.053,0.0168,0.0155
HARV_004,1,2017,-0.188,0.0153,0.0066
HARV_005,1,2017,-0.177,0.0183,0.011
HARV_006,0,0,-0.065,0.0188,0.0187
HARV_008,1,2017,-0.179,0.0144,0.0087
HARV_010,0,0,-0.031,0.0126,0.0118
HARV_011,1,2017,-0.097,0.0052,0.0026
HARV_012,0,0,-0.044,0.0263,0.0205
HARV_013,0,0,-0.044,0.0036,0.0027
HARV_014,1,2017,-0.129,0.015,0.0096
HARV_015,0,0,-0.057,0.0024,-0.0003
HARV_016,1,2017,-0.083,0.0047,0.0019
HARV_017,1,2017,-0.097,0.0162,0.0139
HARV_020,0,0,-0.077,-0.0092,-0.0114
HARV_021,0,0,-0.051,0.0077,0.0058
HARV_022,0,0,-0.072,-0.0012,-0.004
HARV_023,0,0,-0.039,0.0026,0.0014
HARV_024,0,0,-0.015,0.0042,0.0028
HARV_025,0,0,-0.029,0.0025,0.0022
HARV_026,1,2017,-0.085,0.0055,0.002
HARV_027,0,0,-0.044,-0.0054,-0.0072
HARV_033,0,0,-0.035,0.0002,-0.0016
HARV_034,0,0,-0.044,0.0069,-0.0068
HARV_035,0,0,-0.049,0.0106,-0.0024
HARV_036,0,0,-0.04,-0.0005,-0.0023
HARV_037,0,0,-0.07,0.0097,-0.0031
HARV_038,0,0,-0.029,0.001,-0.0064
HARV_039,0,0,-0.037,-0.0019,-0.0038
HARV_040,0,0,-0.023,0.001,-0.0022
HARV_041,0,0,-0.04,0.0059,-0.0031
HARV_042,0,0,-0.032,0.0027,-0.0017
HARV_043,0,0,-0.049,0.0083,-0.0021
HARV_044,0,0,-0.026,-0.0038,-0.0068
HARV_045,0,0,-0.048,-0.0011,-0.0038
HARV_046,1,2019,-0.085,-0.0019,-0.0122
HARV_047,0,0,-0.027,0.002,-0.0014
HARV_048,0,0,-0.034,0.007,-0.0036
HARV_049,0,0,-0.034,0.0034,-0.0017
HARV_050,0,0,-0.033,0.0042,-0.0032
HARV_051,0,0,-0.028,0.0016,-0.0015
HARV_052,0,0,-0.036,-0.0017,-0.0033
JERC_001,1,2017,-0.088,0.0015,-0.0018
JERC_002,0,0,-0.038,,0.0029
JERC_003,0,0,-0.071,0.01,0.003
JERC_004,1,2025,-0.215,,-0.0095
JERC_005,0,0,-0.046,0.0056,0.0036
JERC_006,1,2017,-0.1,0.0073,0.0036
JERC_007,0,0,-0.072,0.0068,0.0039
JERC_008,0,0,-0.072,0.0064,0.0036
JERC_009,0,0,-0.043,0.014,0.0039
JERC_010,0,0,-0.029,0.0106,0.0034
JERC_011,1,2022,-0.095,0.0132,-0.0008
JERC_012,1,2017,-0.189,0.0079,-0.0002
JERC_013,1,2022,-0.08,0.0208,0.002
JERC_014,0,0,-0.05,-0.0055,0.0024
JERC_015,0,0,-0.035,0.0064,0.0042
JERC_016,1,2019,-0.104,0.0172,0.0012
JERC_019,1,2017,-0.087,0.0026,-0.0025
JERC_021,1,2022,-0.082,0.0217,0.0062
JERC_022,0,0,-0.076,0.0051,0.0021
JERC_028,1,2019,-0.109,0.0148,-0.0005
JERC_029,0,0,-0.058,-0.0025,0.0028
JERC_030,1,2017,-0.113,0.01,0.005
JERC_031,0,0,-0.01,0.0087,0.008
JERC_033,0,0,-0.052,0.0042,0.0044
JERC_034,1,2019,-0.139,0.0106,-0.0055
JERC_035,1,2025,-0.084,,-0.0042
JERC_036,0,0,-0.024,0.0129,0.0104
JERC_038,0,0,-0.07,0.0117,0.0016
JERC_040,1,2021,-0.143,0.0301,-0.0065
JERC_041,0,0,-0.077,0.0158,0.0062
JERC_042,0,0,-0.021,0.0071,0.0056
JERC_044,0,0,-0.048,0.0074,0.0043
JERC_047,0,0,-0.059,0.0042,0.0022
JERC_048,0,0,-0.036,,0.0059
JERC_049,0,0,-0.064,0.0061,0.0036
JERC_050,0,0,-0.039,0.0029,0.0016
JERC_051,0,0,-0.027,0.0072,0.0054
JERC_052,0,0,-0.057,0.0046,0.0023
JERC_053,1,2017,-0.106,0.0109,0.0064
JERC_054,0,0,-0.032,0.0049,0.0026
JERC_055,1,2025,-0.111,,0.0022
JERC_056,0,0,-0.062,,0.0026
JERC_057,0,0,-0.017,0.009,0.0076
JERC_058,1,2025,-0.09,,0.0052
JERC_059,0,0,-0.053,0.0051,0.0022
JERC_060,0,0,-0.039,0.0039,0.002
JERC_061,0,0,-0.052,0.0053,0.0033
JERC_062,0,0,-0.078,,-0.0018
JERC_063,0,0,-0.049,0.0059,0.0036
JERC_064,0,0,-0.042,0.0228,0.0038
JERC_065,0,0,-0.046,0.0146,0.0
JERC_066,1,2025,-0.096,,-0.0015
MLBS_001,0,0,-0.051,0.0091,0.005
MLBS_002,0,0,-0.072,0.0096,0.0023
MLBS_003,1,2018,-0.127,0.0134,-0.0029
MLBS_004,0,0,-0.021,,0.0031
MLBS_005,0,0,-0.055,0.017,0.0017
MLBS_006,0,0,-0.033,,0.0033
MLBS_007,0,0,-0.033,,0.0005
MLBS_008,0,0,-0.037,,0.0037
MLBS_009,1,2018,-0.138,0.0182,0.0028
MLBS_010,1,2019,-0.135,0.0257,-0.0032
MLBS_011,0,0,-0.047,0.0141,0.0011
MLBS_012,0,0,-0.062,0.0077,0.004
MLBS_013,0,0,-0.029,,0.0034
MLBS_014,0,0,-0.018,,0.0058
MLBS_015,0,0,-0.03,,0.0003
MLBS_016,0,0,-0.047,,0.002
MLBS_017,0,0,-0.066,0.0041,-0.0003
MLBS_018,0,0,-0.037,0.0016,0.0045
MLBS_019,0,0,-0.016,,0.0032
MLBS_020,0,0,-0.042,,0.0032
MLBS_061,0,0,-0.077,0.0103,0.0
MLBS_062,0,0,-0.072,0.0047,-0.0061
MLBS_063,0,0,-0.066,0.007,-0.0041
MLBS_064,0,0,-0.072,0.0103,0.0033
MLBS_065,1,2018,-0.095,0.0075,0.0012
MLBS_066,0,0,-0.075,0.0097,-0.001
MLBS_067,1,2018,-0.092,0.0059,-0.0033
MLBS_068,1,2018,-0.096,0.0096,-0.0035
MLBS_069,0,0,-0.041,0.0041,0.0018
MLBS_070,0,0,-0.057,0.0061,-0.0002
MLBS_071,0,0,-0.064,0.0034,-0.0008
MLBS_072,1,2018,-0.085,0.0037,-0.0022
MLBS_073,1,2018,-0.11,0.0103,-0.0023
MLBS_074,0,0,-0.065,0.0013,-0.0023
MLBS_075,1,2018,-0.092,0.0107,0.0013
MLBS_076,0,0,-0.049,0.0046,0.0031
ORNL_001,0,0,-0.015,0.0008,0.0025
ORNL_002,0,0,-0.027,0.0034,0.0028
ORNL_003,0,0,-0.025,-0.0023,0.0059
ORNL_004,0,0,-0.027,0.0004,0.0014
ORNL_006,0,0,-0.043,0.0032,0.0014
ORNL_007,0,0,-0.034,,0.0042
ORNL_008,0,0,-0.043,,-0.0009
ORNL_009,0,0,-0.021,0.0036,0.0033
ORNL_010,0,0,-0.018,0.0016,0.0027
ORNL_012,0,0,-0.03,,0.0026
ORNL_014,0,0,-0.028,-0.0061,0.0045
ORNL_015,0,0,-0.018,0.0053,0.0052
ORNL_017,0,0,-0.037,,0.0002
ORNL_018,0,0,-0.012,0.0005,0.0035
ORNL_019,0,0,-0.025,,0.0
ORNL_021,1,2017,-0.106,0.0093,0.0048
ORNL_027,0,0,-0.015,-0.0021,0.0015
ORNL_029,0,0,-0.024,0.0006,0.0033
ORNL_031,1,2024,-0.105,,0.0025
ORNL_032,0,0,-0.028,-0.0033,-0.0025
ORNL_033,0,0,-0.015,-0.0034,0.0067
ORNL_035,0,0,-0.04,,-0.0022
ORNL_036,0,0,-0.04,,-0.0023
ORNL_037,0,0,-0.009,-0.0054,0.002
ORNL_043,0,0,-0.02,0.0015,0.0011
ORNL_044,1,2018,-0.179,0.0191,0.0066
ORNL_045,0,0,-0.012,-0.0039,0.0012
ORNL_046,0,0,-0.032,0.0034,0.0024
ORNL_049,0,0,-0.035,0.0052,0.0035
ORNL_050,0,0,-0.033,0.0016,0.0032
ORNL_051,0,0,-0.012,-0.0022,0.0018
ORNL_052,0,0,-0.02,,0.0019
ORNL_053,0,0,-0.026,-0.0018,0.0023
ORNL_054,0,0,-0.024,,0.0008
ORNL_055,0,0,-0.011,,0.0057
ORNL_056,0,0,-0.021,0.0037,0.0032
ORNL_057,0,0,-0.022,,0.0013
ORNL_058,0,0,-0.018,-0.0021,0.0032
ORNL_059,0,0,-0.023,0.0022,0.0016
ORNL_060,0,0,-0.022,,0.0029
ORNL_061,0,0,-0.024,0.0033,0.0026
ORNL_062,0,0,-0.029,-0.0012,0.0002
ORNL_063,0,0,-0.032,0.0072,0.0052
ORNL_066,1,2023,-0.531,0.2552,0.0001
ORNL_067,0,0,-0.012,,0.0024
ORNL_068,0,0,-0.018,,0.0029
OSBS_001,0,0,-0.059,0.0067,0.0038
OSBS_002,0,0,-0.064,0.0005,-0.004
OSBS_003,0,0,-0.049,0.0061,0.0049
OSBS_004,1,2022,-0.189,0.0057,-0.0069
OSBS_005,1,2018,-0.213,0.0212,-0.0128
OSBS_006,1,2024,-0.133,,-0.0011
OSBS_007,0,0,-0.056,0.0163,0.0015
OSBS_008,1,2020,-0.121,0.0249,0.01
OSBS_009,0,0,-0.063,0.0105,0.0062
OSBS_010,0,0,-0.076,-0.0008,-0.0027
OSBS_011,1,2020,-0.143,0.0153,0.0002
OSBS_012,1,2020,-0.371,0.0272,0.0044
OSBS_013,1,2022,-0.148,-0.0002,-0.0023
OSBS_014,1,2019,-0.084,0.0049,0.0039
OSBS_015,1,2022,-0.175,-0.0101,-0.0106
OSBS_016,0,0,-0.031,0.001,0.0018
OSBS_017,0,0,-0.057,0.0029,-0.0001
OSBS_018,0,0,-0.051,,-0.0009
OSBS_020,1,2019,-0.15,0.0347,0.0179
OSBS_021,1,2019,-0.293,-0.0117,-0.0383
OSBS_022,1,2020,-0.183,-0.0008,-0.0305
OSBS_023,1,2020,-0.497,0.0276,-0.0175
OSBS_024,1,2025,-0.465,,-0.0042
OSBS_025,0,0,-0.074,,-0.0022
OSBS_026,1,2019,-0.106,0.0051,-0.0028
OSBS_027,0,0,-0.07,0.0036,-0.0023
OSBS_028,1,2022,-0.143,0.0065,-0.0006
OSBS_029,0,0,-0.07,0.0075,-0.0027
OSBS_030,1,2022,-0.14,-0.001,-0.0019
OSBS_031,1,2024,-0.117,,-0.0002
OSBS_032,1,2024,-0.094,,-0.0012
OSBS_033,1,2024,-0.165,,-0.0041
OSBS_034,1,2024,-0.155,,0.0
OSBS_035,1,2022,-0.159,0.0158,-0.0031
OSBS_036,1,2019,-0.089,0.0057,0.0015
OSBS_037,1,2022,-0.15,0.0087,-0.0013
OSBS_038,1,2022,-0.166,-0.0021,-0.006
OSBS_039,1,2025,-0.102,,0.0004
OSBS_040,1,2024,-0.17,,-0.0017
OSBS_041,1,2022,-0.131,0.007,-0.004
OSBS_042,1,2025,-0.084,,-0.0085
OSBS_043,1,2019,-0.13,0.0103,-0.0062
OSBS_044,1,2019,-0.099,0.0092,0.0005
OSBS_048,0,0,-0.063,,0.0014
OSBS_049,1,2020,-0.35,0.0254,-0.0148
OSBS_050,1,2022,-0.134,0.0186,-0.0105
OSBS_051,1,2020,-0.116,0.0044,0.008
