plotID,hansen_loss,hansen_lossyear,hansen_loss_frac,treecover2000
TALL_048,0,0,0.0,87.2
TALL_042,0,0,0.0,99.0
TALL_053,0,0,0.0,98.8
TALL_064,0,0,0.0,100.0
TALL_025,1,2015,0.25,100.0
SOAP_059,1,2021,1.0,72.8
SOAP_057,1,2016,0.5,65.5
SOAP_051,0,0,0.0,11.5
SOAP_048,0,0,0.0,32.5
SOAP_058,1,2016,1.0,85.8
SOAP_043,1,2021,1.0,74.5
SOAP_050,1,2020,0.25,32.2
SOAP_044,1,2021,1.0,66.8
SOAP_052,1,2021,0.75,65.0
SOAP_046,0,0,0.0,42.2
SOAP_060,1,2021,0.25,27.5
SOAP_055,1,2021,0.75,52.5
SOAP_054,1,2017,1.0,64.5
SOAP_047,1,2021,0.25,80.5
SOAP_031,1,2016,0.25,75.5
SOAP_049,0,0,0.0,76.5
SOAP_056,1,2021,0.75,92.0
SOAP_053,1,2022,1.0,72.0
SOAP_045,0,0,0.0,64.0
SOAP_061,1,2016,0.5,86.0
SOAP_002,0,0,0.0,90.5
SOAP_010,0,0,0.0,37.5
SOAP_006,1,2016,1.0,95.5
SOAP_013,0,0,0.0,86.8
SOAP_012,1,2017,1.0,90.2
SOAP_004,0,0,0.0,94.0
SOAP_003,1,2016,0.25,98.0
SOAP_016,1,2017,1.0,84.2
SOAP_007,0,0,0.0,75.5
SOAP_020,1,2016,0.25,78.8
SOAP_009,0,0,0.0,13.2
SOAP_008,1,2021,1.0,90.0
SOAP_021,0,0,0.0,72.2
SOAP_018,0,0,0.0,62.0
SOAP_019,1,2017,0.75,83.8
SOAP_017,1,2016,0.25,78.8
SOAP_015,0,0,0.0,96.2
SOAP_001,0,0,0.0,70.0
SOAP_011,0,0,0.0,95.8
SOAP_022,0,0,0.0,83.5
SOAP_024,1,2016,1.0,96.0
TEAK_045,0,0,0.0,93.8
TEAK_054,0,0,0.0,88.5
TEAK_048,0,0,0.0,94.5
TEAK_061,0,0,0.0,91.2
TEAK_059,0,0,0.0,90.5
TEAK_049,0,0,0.0,81.0
TEAK_060,0,0,0.0,97.2
TEAK_055,0,0,0.0,92.2
TEAK_062,0,0,0.0,49.2
TEAK_056,0,0,0.0,63.0
TEAK_044,0,0,0.0,96.0
TEAK_057,0,0,0.0,94.0
TEAK_053,0,0,0.0,16.8
TEAK_047,0,0,0.0,81.0
TEAK_051,0,0,0.0,94.8
TEAK_046,0,0,0.0,91.2
TEAK_058,0,0,0.0,68.2
TEAK_043,0,0,0.0,36.5
TEAK_052,0,0,0.0,88.5
TEAK_050,0,0,0.0,93.8
TEAK_001,0,0,0.0,82.8
TEAK_002,0,0,0.0,98.0
TEAK_003,0,0,0.0,75.8
TEAK_004,0,0,0.0,71.2
TEAK_006,0,0,0.0,59.5
TEAK_025,0,0,0.0,20.5
TEAK_005,0,0,0.0,49.0
TEAK_011,0,0,0.0,60.5
TEAK_007,0,0,0.0,28.5
TEAK_014,1,2015,0.5,88.5
TEAK_010,1,2015,0.25,91.5
TEAK_012,0,0,0.0,96.5
TEAK_017,0,0,0.0,66.0
TEAK_013,0,0,0.0,88.0
TEAK_019,0,0,0.0,94.2
TEAK_020,0,0,0.0,92.8
TEAK_016,0,0,0.0,21.8
TEAK_015,0,0,0.0,99.5
TEAK_024,0,0,0.0,0.0
TEAK_018,0,0,0.0,85.0
BART_012,0,0,0.0,94.5
BART_001,0,0,0.0,99.2
BART_005,0,0,0.0,100.0
BART_044,0,0,0.0,100.0
BART_037,0,0,0.0,100.0
BART_073,0,0,0.0,99.5
BART_074,0,0,0.0,100.0
BART_075,0,0,0.0,100.0
BART_042,0,0,0.0,100.0
BART_072,0,0,0.0,99.8
BART_046,0,0,0.0,100.0
BART_036,0,0,0.0,100.0
BART_051,0,0,0.0,100.0
BART_041,0,0,0.0,99.8
BART_034,0,0,0.0,100.0
BART_039,0,0,0.0,100.0
BART_050,0,0,0.0,98.0
BART_040,0,0,0.0,100.0
BART_071,0,0,0.0,100.0
BART_070,0,0,0.0,100.0
BART_033,0,0,0.0,100.0
BART_047,0,0,0.0,100.0
BART_032,0,0,0.0,100.0
BART_015,0,0,0.0,100.0
BART_016,0,0,0.0,100.0
BART_028,0,0,0.0,95.0
BART_010,0,0,0.0,100.0
BART_013,0,0,0.0,100.0
BART_026,0,0,0.0,95.2
BART_006,0,0,0.0,98.2
BART_023,0,0,0.0,95.5
BART_002,0,0,0.0,100.0
BART_018,1,2006,0.5,100.0
BART_003,0,0,0.0,100.0
BART_024,0,0,0.0,93.5
BART_011,0,0,0.0,100.0
BART_025,0,0,0.0,98.8
BART_007,0,0,0.0,100.0
BART_027,0,0,0.0,93.8
BART_004,0,0,0.0,99.8
BART_019,0,0,0.0,100.0
HARV_013,0,0,0.0,87.0
HARV_022,0,0,0.0,98.0
HARV_008,0,0,0.0,100.0
HARV_004,0,0,0.0,100.0
HARV_024,0,0,0.0,69.5
HARV_010,0,0,0.0,100.0
HARV_006,0,0,0.0,100.0
HARV_001,0,0,0.0,97.2
HARV_005,0,0,0.0,100.0
HARV_027,0,0,0.0,100.0
HARV_043,0,0,0.0,100.0
HARV_035,0,0,0.0,100.0
HARV_037,0,0,0.0,100.0
HARV_020,0,0,0.0,100.0
HARV_023,0,0,0.0,94.0
HARV_014,0,0,0.0,100.0
HARV_011,0,0,0.0,100.0
HARV_025,0,0,0.0,100.0
HARV_002,0,0,0.0,100.0
HARV_012,0,0,0.0,100.0
HARV_026,0,0,0.0,98.8
HARV_016,0,0,0.0,100.0
HARV_039,0,0,0.0,100.0
HARV_021,0,0,0.0,96.5
HARV_045,0,0,0.0,100.0
HARV_041,0,0,0.0,100.0
HARV_038,0,0,0.0,97.0
HARV_050,0,0,0.0,100.0
HARV_048,0,0,0.0,100.0
HARV_036,0,0,0.0,100.0
HARV_052,0,0,0.0,100.0
HARV_049,0,0,0.0,100.0
HARV_047,0,0,0.0,100.0
HARV_044,0,0,0.0,100.0
HARV_040,0,0,0.0,100.0
HARV_046,0,0,0.0,100.0
HARV_033,0,0,0.0,100.0
HARV_051,0,0,0.0,100.0
HARV_034,0,0,0.0,95.8
HARV_042,0,0,0.0,100.0
HARV_015,0,0,0.0,100.0
HARV_017,0,0,0.0,100.0
STEI_058,0,0,0.0,74.0
STEI_051,0,0,0.0,100.0
STEI_056,1,2005,1.0,100.0
STEI_046,0,0,0.0,98.5
STEI_061,0,0,0.0,85.8
STEI_062,1,2005,0.75,94.5
STEI_052,0,0,0.0,74.0
STEI_055,1,2005,0.5,52.0
STEI_047,1,2005,1.0,99.0
STEI_053,1,2005,0.25,79.8
STEI_048,1,2005,0.25,98.8
STEI_060,1,2005,0.5,90.0
STEI_054,1,2005,1.0,100.0
STEI_049,1,2005,0.75,91.8
STEI_057,1,2005,1.0,98.0
STEI_050,1,2005,0.5,100.0
STEI_059,1,2005,0.75,95.8
TREE_042,0,0,0.0,100.0
TREE_053,0,0,0.0,100.0
TREE_049,0,0,0.0,100.0
TREE_046,0,0,0.0,100.0
TREE_055,0,0,0.0,100.0
TREE_056,0,0,0.0,85.5
TREE_050,0,0,0.0,89.0
TREE_054,0,0,0.0,99.0
TREE_052,0,0,0.0,96.8
TREE_051,0,0,0.0,100.0
TREE_057,0,0,0.0,99.5
TREE_025,0,0,0.0,99.8
TREE_043,1,2004,1.0,97.0
TREE_044,1,2004,0.75,100.0
TREE_048,0,0,0.0,94.0
TREE_047,0,0,0.0,100.0
TREE_041,0,0,0.0,100.0
TREE_040,0,0,0.0,100.0
TREE_039,0,0,0.0,100.0
TREE_045,0,0,0.0,100.0
TREE_017,1,2010,0.5,97.5
TREE_019,0,0,0.0,100.0
TREE_010,0,0,0.0,99.2
TREE_016,0,0,0.0,100.0
TREE_001,1,2020,0.5,92.2
TREE_014,1,2020,0.25,99.2
TREE_009,0,0,0.0,85.0
TREE_060,0,0,0.0,97.0
TREE_012,0,0,0.0,94.5
TREE_005,0,0,0.0,67.2
TREE_011,0,0,0.0,97.8
TREE_018,0,0,0.0,99.0
TREE_003,0,0,0.0,100.0
TREE_007,0,0,0.0,100.0
TREE_008,0,0,0.0,100.0
TREE_006,1,2017,0.5,100.0
TREE_004,0,0,0.0,98.0
TREE_002,0,0,0.0,86.5
TREE_015,0,0,0.0,100.0
TREE_023,0,0,0.0,98.2
TREE_062,0,0,0.0,87.2
TREE_064,0,0,0.0,98.0
TREE_022,0,0,0.0,91.5
TREE_063,0,0,0.0,94.5
UNDE_048,0,0,0.0,100.0
UNDE_038,0,0,0.0,95.5
UNDE_037,0,0,0.0,100.0
UNDE_045,0,0,0.0,100.0
UNDE_058,0,0,0.0,99.5
UNDE_052,0,0,0.0,100.0
UNDE_047,0,0,0.0,92.0
UNDE_054,0,0,0.0,99.0
UNDE_057,0,0,0.0,93.5
UNDE_050,0,0,0.0,100.0
UNDE_055,0,0,0.0,96.5
UNDE_059,0,0,0.0,100.0
UNDE_065,0,0,0.0,100.0
UNDE_043,0,0,0.0,100.0
UNDE_044,0,0,0.0,97.2
UNDE_049,0,0,0.0,99.8
UNDE_056,0,0,0.0,100.0
UNDE_078,0,0,0.0,97.2
UNDE_061,0,0,0.0,96.5
UNDE_060,0,0,0.0,91.5
UNDE_014,0,0,0.0,100.0
UNDE_013,0,0,0.0,77.0
UNDE_002,0,0,0.0,73.0
UNDE_001,0,0,0.0,99.8
UNDE_003,0,0,0.0,99.2
UNDE_010,0,0,0.0,100.0
UNDE_006,0,0,0.0,96.0
UNDE_011,0,0,0.0,100.0
UNDE_007,0,0,0.0,100.0
UNDE_012,0,0,0.0,40.5
UNDE_008,0,0,0.0,92.5
UNDE_016,0,0,0.0,87.0
UNDE_020,0,0,0.0,100.0
UNDE_021,0,0,0.0,100.0
UNDE_022,0,0,0.0,60.5
UNDE_018,0,0,0.0,76.0
UNDE_019,0,0,0.0,100.0
UNDE_023,0,0,0.0,100.0
UNDE_015,0,0,0.0,100.0
UNDE_027,0,0,0.0,100.0
STEI_005,0,0,0.0,97.5
STEI_009,0,0,0.0,100.0
STEI_012,0,0,0.0,100.0
STEI_017,0,0,0.0,96.0
STEI_019,0,0,0.0,96.8
STEI_003,0,0,0.0,100.0
STEI_007,0,0,0.0,100.0
STEI_002,0,0,0.0,94.0
STEI_011,0,0,0.0,86.0
STEI_010,0,0,0.0,99.2
STEI_008,0,0,0.0,99.0
STEI_015,0,0,0.0,98.8
STEI_016,0,0,0.0,99.5
STEI_004,0,0,0.0,99.2
STEI_013,0,0,0.0,91.0
STEI_001,0,0,0.0,96.0
STEI_021,0,0,0.0,98.0
STEI_006,0,0,0.0,100.0
STEI_014,0,0,0.0,100.0
STEI_022,0,0,0.0,100.0
STEI_023,0,0,0.0,98.8
RMNP_043,0,0,0.0,68.2
RMNP_042,1,2005,0.25,61.0
RMNP_041,0,0,0.0,62.5
RMNP_048,0,0,0.0,15.8
RMNP_049,0,0,0.0,0.0
RMNP_046,0,0,0.0,18.5
RMNP_047,0,0,0.0,21.2
RMNP_045,0,0,0.0,43.0
RMNP_044,0,0,0.0,39.5
RMNP_013,0,0,0.0,20.8
RMNP_003,1,2013,0.25,81.2
RMNP_009,1,2011,0.25,52.5
RMNP_011,0,0,0.0,38.0
RMNP_019,0,0,0.0,21.8
RMNP_015,0,0,0.0,68.0
RMNP_002,0,0,0.0,82.8
RMNP_020,0,0,0.0,81.2
RMNP_016,1,2015,0.5,58.2
RMNP_017,0,0,0.0,89.0
RMNP_005,0,0,0.0,88.2
RMNP_001,0,0,0.0,66.0
RMNP_014,0,0,0.0,95.8
RMNP_008,0,0,0.0,89.8
RMNP_012,0,0,0.0,100.0
RMNP_018,0,0,0.0,86.0
RMNP_006,0,0,0.0,100.0
RMNP_004,0,0,0.0,87.0
RMNP_010,0,0,0.0,31.5
RMNP_007,0,0,0.0,88.8
ABBY_063,1,2006,1.0,95.0
ABBY_068,1,2006,1.0,95.0
ABBY_065,1,2006,1.0,95.0
ABBY_067,1,2006,0.75,90.8
ABBY_066,1,2006,1.0,95.0
ABBY_061,1,2006,1.0,95.0
ABBY_070,1,2006,1.0,95.0
ABBY_062,1,2006,1.0,95.0
ABBY_064,1,2006,1.0,95.0
ABBY_069,1,2006,1.0,95.0
ABBY_075,1,2006,1.0,89.5
ABBY_074,1,2006,1.0,95.0
ABBY_073,1,2006,1.0,95.0
ABBY_076,1,2006,1.0,95.0
ABBY_004,1,2008,1.0,95.0
ABBY_009,1,2008,1.0,95.5
ABBY_011,1,2013,1.0,100.0
ABBY_013,1,2011,1.0,95.8
ABBY_023,0,0,0.0,0.0
ABBY_010,0,0,0.0,100.0
ABBY_018,1,2012,1.0,99.0
ABBY_003,1,2005,1.0,95.0
ABBY_012,1,2011,1.0,98.0
ABBY_005,1,2009,1.0,98.2
ABBY_016,0,0,0.0,99.0
ABBY_008,1,2011,0.5,99.0
ABBY_017,1,2002,1.0,95.0
ABBY_014,0,0,0.0,99.5
ABBY_001,0,0,0.0,98.5
ABBY_019,1,2006,1.0,95.0
ABBY_006,0,0,0.0,100.0
ABBY_002,1,2010,1.0,95.8
ABBY_007,1,2017,1.0,96.5
ABBY_025,0,0,0.0,97.0
ABBY_015,1,2010,1.0,96.0
ABBY_077,1,2010,1.0,99.0
WREF_089,0,0,0.0,98.5
WREF_082,0,0,0.0,100.0
WREF_077,0,0,0.0,96.5
WREF_083,0,0,0.0,100.0
WREF_086,0,0,0.0,99.0
WREF_081,0,0,0.0,100.0
WREF_076,0,0,0.0,99.5
WREF_070,0,0,0.0,87.0
WREF_074,0,0,0.0,100.0
WREF_072,0,0,0.0,98.5
WREF_080,0,0,0.0,6.0
WREF_073,0,0,0.0,89.0
WREF_079,0,0,0.0,96.0
WREF_085,0,0,0.0,100.0
WREF_084,0,0,0.0,84.0
WREF_078,0,0,0.0,100.0
WREF_088,0,0,0.0,99.5
WREF_087,0,0,0.0,97.2
WREF_075,0,0,0.0,100.0
WREF_071,0,0,0.0,93.0
WREF_012,0,0,0.0,100.0
WREF_016,0,0,0.0,100.0
WREF_015,0,0,0.0,100.0
WREF_013,0,0,0.0,99.0
WREF_001,0,0,0.0,95.5
WREF_003,0,0,0.0,100.0
WREF_018,0,0,0.0,99.0
WREF_020,0,0,0.0,98.0
WREF_002,0,0,0.0,100.0
WREF_019,0,0,0.0,95.0
WREF_010,0,0,0.0,100.0
WREF_007,0,0,0.0,100.0
WREF_008,0,0,0.0,96.8
WREF_006,0,0,0.0,100.0
WREF_005,0,0,0.0,100.0
WREF_014,0,0,0.0,100.0
WREF_009,0,0,0.0,99.5
WREF_011,0,0,0.0,97.8
WREF_004,0,0,0.0,99.8
WREF_017,0,0,0.0,100.0
