response,predictor,feature,category,beta,se,p,n,r2
Hill q1,Canopy_Ht,mean,Structural,-0.08476180662318354,0.05049915183358776,0.09325346927952896,472,0.011976459515742515
Hill q1,Canopy_Ht,sd,Structural,-0.0733558501264129,0.041772357253131984,0.07907373191088972,472,0.009002266974128186
Hill q1,Canopy_Ht,trend,Structural,-0.09199520202830108,0.045094003282721486,0.04134273862490491,472,0.014117915737427614
Hill q1,Max_Ht,mean,Structural,0.06854490660092047,0.05535634967034886,0.2156240023907573,472,0.004289918302456743
Hill q1,Max_Ht,sd,Structural,-0.014959592231977391,0.04682727355960898,0.7493752671843933,472,0.0003752259747235927
Hill q1,Max_Ht,trend,Structural,-0.10167063754498169,0.05277729900798741,0.05405338661808388,472,0.00931515612983823
Hill q1,Rumple,mean,Structural,-0.30458238362227436,0.07025015203454482,1.4530828600199332e-05,472,0.13934183090556274
Hill q1,Rumple,sd,Structural,-0.0822333269855338,0.04730279254531218,0.08213234476674809,472,0.011285447872747592
Hill q1,Rumple,trend,Structural,0.1869522664345105,0.050234751065949816,0.00019798602960528612,472,0.056931588827902176
Hill q1,Rugosity,sd,Structural,-0.04481763614535359,0.04377317497645756,0.3059010472757435,472,0.0033646426022116835
Hill q1,Rugosity,trend,Structural,-0.004792860835339816,0.045153457438975274,0.9154664804266937,472,3.852156702433043e-05
Hill q1,Deep_Gap,mean,Structural,-0.38627458146626525,0.06526642557842718,3.2503502642618884e-09,472,0.13417083460078325
Hill q1,Deep_Gap,sd,Structural,-0.10554914959373157,0.04643038622981731,0.0230094660985725,472,0.010095732957200133
Hill q1,Deep_Gap,trend,Structural,0.12395165018875381,0.04765041324504079,0.009287898274437502,472,0.02547606099984464
Hill q1,Vert_SD,mean,Structural,0.022724908359521928,0.05478148202174754,0.6782676102562446,472,0.0008655863079290347
Hill q1,Vert_SD,sd,Structural,-0.1696238719545312,0.04055002229926629,2.8758973387409858e-05,472,0.0476889919105491
Hill q1,Vert_SD,trend,Structural,-0.009520024460307756,0.044168765923076954,0.8293482945903092,472,0.00015197572916069723
Hill q1,Vert_CV,mean,Structural,0.13937321400306674,0.05197949336964314,0.007333421413729179,472,0.017064014970578942
Hill q1,Vert_CV,sd,Structural,-0.12553510129546924,0.04213095811604025,0.0028858702581902674,472,0.02622856277814212
Hill q1,Vert_CV,trend,Structural,0.06057276819964875,0.0402306501599512,0.13216030314390947,472,0.0061450311634055725
Hill q1,Gini,mean,Structural,0.1718025480986995,0.052169990150539323,0.0009907873026046006,472,0.04821636165676975
Hill q1,Gini,sd,Structural,-0.12689547367241438,0.040945445420683756,0.0019408638983051739,472,0.014461689747969386
Hill q1,Gini,trend,Structural,0.06545489411932678,0.04012079111002079,0.10279629819092828,472,0.007174185117308418
Hill q1,VCI,mean,Structural,0.30704945663995276,0.04579107197258993,2.0079525240118212e-11,472,0.14784016569207262
Hill q1,VCI,sd,Structural,-0.06572924968077723,0.04256958930473818,0.12257806787364346,472,0.007229726945719931
Hill q1,VCI,trend,Structural,-0.0453484422829207,0.04626540646084411,0.32699710249682623,472,0.003443889044019431
Hill q1,FHD,mean,Structural,0.14442001287089667,0.05384771594435523,0.007318167749547728,472,0.03430251852507045
Hill q1,FHD,sd,Structural,-0.0912931361851438,0.048080176813152194,0.05759489053044772,472,0.013889866829153207
Hill q1,FHD,trend,Structural,-0.09530806342845294,0.050392042871661866,0.05858009201555715,471,0.015087339672469766
Hill q1,LAI,mean,Structural,0.36365019722728065,0.06969359261788441,1.8101917840141225e-07,472,0.19017262576442273
Hill q1,LAI,sd,Structural,0.03937420880206081,0.04908292439899843,0.42243860969003566,472,0.0025966860348830886
Hill q1,LAI,trend,Structural,-0.11576181233397895,0.047889375049750944,0.01563717732185543,472,0.022250363447270927
Hill q1,Q95,mean,Structural,-0.022762713082386334,0.05299693366264256,0.667552116617779,472,0.0008684894195569926
Hill q1,Q95,sd,Structural,-0.03473705652965088,0.04573111583149211,0.447497629255046,472,0.002021945806393715
Hill q1,Q95,trend,Structural,-0.07596424048711022,0.050054239197308364,0.12910555567835427,472,0.009631532111235826
Hill q1,Ht_Ratio,mean,Structural,-0.1029628197551207,0.065679638075468,0.11696235604945124,472,0.01755868369473486
Hill q1,Ht_Ratio,sd,Structural,-0.016388119358816223,0.04162452449239059,0.6937928901141657,472,0.0004503277956756268
Hill q1,Ht_Ratio,trend,Structural,0.1773328593502377,0.04697745794314046,0.0001601039427446282,472,0.05155869201221126
Hill q1,NDVI,mean,VI,0.27908311850189765,0.07330903359132654,0.00014069665945541527,451,0.12470331229879224
Hill q1,NDVI,sd,VI,-0.09308821467639015,0.04295102188767369,0.030211161657673,449,0.015449758283868313
Hill q1,EVI,mean,VI,0.37918920520845034,0.07680558909261066,7.933340827901375e-07,451,0.21027708580619206
Hill q1,EVI,sd,VI,-0.008022026591475018,0.04670524998422996,0.8636273437612016,449,0.00011529739708019334
Hill q1,EVI,trend,VI,-0.03500940577441767,0.0519402460375177,0.500290750909481,314,0.001178762673533261
Hill q1,ARVI,mean,VI,0.269856397090554,0.07327632269130521,0.00023075587975593238,451,0.1173353285305179
Hill q1,ARVI,sd,VI,-0.028694957100601246,0.03935607579509935,0.4659336215595409,449,0.001474918168315418
Hill q1,SAVI,mean,VI,0.37997146135140225,0.07668398922740613,7.231915832244557e-07,451,0.21281229594135614
Hill q1,SAVI,sd,VI,-0.024201547887031317,0.04682429040385856,0.6052547099600436,449,0.0010489792123643791
Hill q1,SAVI,trend,VI,-0.033501465874791414,0.051221500181957015,0.5130790436292949,314,0.001078148919810035
Hill q2,Canopy_Ht,mean,Structural,-0.07366404629092302,0.05249384950141766,0.16053065025382274,472,0.008401543042956842
Hill q2,Canopy_Ht,sd,Structural,-0.06721363237215902,0.04341479582139317,0.12158055211012804,472,0.0070108615431804175
Hill q2,Canopy_Ht,trend,Structural,-0.08060534064402389,0.046893177714521735,0.0856300287951479,472,0.010063945819315788
Hill q2,Max_Ht,mean,Structural,0.07045843437767983,0.056349371576678846,0.21115877680315576,472,0.004458010819036144
Hill q2,Max_Ht,sd,Structural,-0.029014378800572796,0.0486191425973541,0.5506618691175831,472,0.0013081501179964738
Hill q2,Max_Ht,trend,Structural,-0.06818067995216523,0.05515066582877744,0.21636114060206013,472,0.007199195629896314
Hill q2,Rumple,mean,Structural,-0.29869324612809334,0.07311903047517382,4.4071607402854954e-05,472,0.12566228727121984
Hill q2,Rumple,sd,Structural,-0.11696162820807172,0.049205924970172885,0.017454910775766923,472,0.012239622815944292
Hill q2,Rumple,trend,Structural,0.15541214215921534,0.05245157184947914,0.003046917673476258,472,0.03685543182764047
Hill q2,Rugosity,mean,Structural,-0.08519314628282555,0.05217725575657396,0.1025186353137449,472,0.011222040069382364
Hill q2,Rugosity,sd,Structural,-0.04333473408528456,0.04505145564934546,0.3361027501681306,472,0.0016396992235916997
Hill q2,Rugosity,trend,Structural,-0.016227605225488377,0.04688865766928642,0.7292765258327234,472,0.00040936292341319766
Hill q2,Deep_Gap,mean,Structural,-0.3648456463927867,0.0684115183414411,9.654872179648474e-08,472,0.18012586021939667
Hill q2,Deep_Gap,sd,Structural,-0.07551340811205329,0.047937382514717804,0.11519852726958983,472,0.008834572382842274
Hill q2,Deep_Gap,trend,Structural,0.10918810058823006,0.04958895376704021,0.027674961511804173,472,0.018386112373525502
Hill q2,Vert_SD,mean,Structural,0.09931964561036374,0.05827868298736483,0.08834015918207866,472,0.008939622832828826
Hill q2,Vert_SD,sd,Structural,-0.17220385517524334,0.04214869159460593,4.395784577907529e-05,472,0.045593057956641155
Hill q2,Vert_SD,trend,Structural,-0.023653251455032085,0.045860616560260734,0.6060193034907684,472,0.0008695984119775883
Hill q2,Vert_CV,mean,Structural,0.14285574491179798,0.053963475548665166,0.008114518174774684,472,0.03120543841578326
Hill q2,Vert_CV,sd,Structural,-0.12845491134081277,0.04376743219300744,0.0033360914658543,472,0.025467447609912326
Hill q2,Vert_CV,trend,Structural,0.03829822841562117,0.041846042235768564,0.3600774812154337,472,0.002279385980643604
Hill q2,Gini,mean,Structural,0.17804034522826423,0.05423902324473791,0.0010288592990072988,472,0.027747212715143636
Hill q2,Gini,sd,Structural,-0.12842968767273813,0.042490642008693076,0.002506625125939315,472,0.014757852559356618
Hill q2,Gini,trend,Structural,0.04502769200304196,0.04173479266337023,0.28063205035162997,472,0.0031502628807095704
Hill q2,VCI,mean,Structural,0.31026767686039713,0.04767960150536938,7.648996303001107e-11,472,0.14044265319293556
Hill q2,VCI,sd,Structural,-0.07958162883944932,0.0441697028070759,0.0715887859174513,472,0.009818523699501513
Hill q2,VCI,trend,Structural,-0.04651976309296392,0.048050195678827144,0.33296981361600353,472,0.00336014738902796
Hill q2,FHD,mean,Structural,0.15286106112424974,0.055906749754496186,0.006252924341377484,472,0.03560293918627502
Hill q2,FHD,sd,Structural,-0.14053658654244564,0.049155967251675314,0.004249876104196163,472,0.017840609492114287
Hill q2,FHD,trend,Structural,-0.12477001084388814,0.05108107199834466,0.014582376069248454,471,0.014143435041225295
Hill q2,LAI,mean,Structural,0.3783599960435265,0.07237253390177663,1.7139974989529707e-07,472,0.19076941800215763
Hill q2,LAI,sd,Structural,-0.003252217836522971,0.05310550815796349,0.9511675264823607,472,9.248063967867804e-06
Hill q2,LAI,trend,Structural,-0.0914046062155448,0.049868094533944266,0.06681334046766797,472,0.01291523213826394
Hill q2,Q95,mean,Structural,0.04415441227197683,0.057127898287560146,0.4395788743202538,472,0.0017350256589250402
Hill q2,Q95,sd,Structural,-0.04269518532838641,0.047482208865339146,0.3685553024666639,472,0.002831071261795487
Hill q2,Q95,trend,Structural,-0.06894083299917539,0.052014495226203036,0.18503328452264067,472,0.007363030919560378
Hill q2,Ht_Ratio,mean,Structural,-0.09470915242746653,0.06825074005228343,0.16523912651820438,472,0.013810692118181806
Hill q2,Ht_Ratio,sd,Structural,-0.028476775198632162,0.04321613555525096,0.5099352667960365,472,0.00126039518145539
Hill q2,Ht_Ratio,trend,Structural,0.15070400006768322,0.04903644133400969,0.002117011306338404,472,0.03478003289718152
Hill q2,NDVI,mean,VI,0.29437863586710333,0.07567704864536627,0.00010027197371886056,451,0.12948800041143957
Hill q2,NDVI,sd,VI,-0.09629153100943649,0.044508392652109076,0.030506846262112704,449,0.015395562352402546
Hill q2,EVI,mean,VI,0.4038792412226491,0.07920367774058441,3.410044823847825e-07,451,0.22223742405471122
Hill q2,EVI,sd,VI,-0.009512943224322824,0.0483973299299391,0.8441724565320025,449,0.00015099209501281366
Hill q2,ARVI,mean,VI,0.28161171386334083,0.07567243561495404,0.00019807661250645408,451,0.1195199670982607
Hill q2,ARVI,sd,VI,-0.03126982042686676,0.040779712253814146,0.4432013540205655,449,0.0016310785547025012
Hill q2,SAVI,mean,VI,0.40466705804079084,0.07907779538491133,3.0989357896943677e-07,451,0.2248230969969755
Hill q2,SAVI,sd,VI,-0.026990854987174198,0.048518850527338814,0.5780083448840496,449,0.0012149631710777382
Turnover(rare),Canopy_Ht,mean,Structural,-0.05296191831784085,0.04279894520519349,0.21591691401880542,432,0.00718588055479119
Turnover(rare),Canopy_Ht,sd,Structural,0.03049855716297678,0.03558475444921012,0.3914072609174215,432,0.0023899361028533158
Turnover(rare),Canopy_Ht,trend,Structural,-0.011959810537207734,0.039154358649200194,0.7600212733580991,432,0.00036770239527311504
Turnover(rare),Max_Ht,mean,Structural,-0.011967153870210653,0.044783270135166246,0.7892968826051656,432,0.00011998877246753715
Turnover(rare),Max_Ht,sd,Structural,0.0371092639439361,0.040138390437533415,0.35520891175025016,432,0.003535224323218918
Turnover(rare),Max_Ht,trend,Structural,-0.06134138709359807,0.04534589354379953,0.1761374167179638,432,0.009622736080938386
Turnover(rare),Rumple,mean,Structural,-0.13842308657667918,0.05850257436595465,0.01797646742935601,432,0.04750482022651196
Turnover(rare),Rumple,sd,Structural,-0.0789942535289842,0.03911073039628228,0.04340838174325601,432,0.015940503698735946
Turnover(rare),Rumple,trend,Structural,0.09946604260432547,0.042963336268434855,0.020605393469309657,432,0.0251128992209204
Turnover(rare),Rugosity,mean,Structural,-0.05327563131444384,0.04326102180047363,0.21813865587490067,432,0.007270390134988924
Turnover(rare),Rugosity,sd,Structural,0.02366698804273486,0.03763920831079315,0.5294895006210413,432,0.00046858308960844795
Turnover(rare),Rugosity,trend,Structural,-0.10571036518872858,0.03757035169656597,0.004898031692881337,432,0.028437367639047195
Turnover(rare),Deep_Gap,mean,Structural,-0.14588076342477133,0.05958409755443884,0.014352528849434377,432,0.01803370391548133
Turnover(rare),Deep_Gap,sd,Structural,-0.00847655830103619,0.03885836194223022,0.8273201279725335,432,6.027193922245724e-05
Turnover(rare),Deep_Gap,trend,Structural,0.09478977690318566,0.04022904349516565,0.018460373910463613,432,0.022869854424311487
Turnover(rare),Vert_SD,mean,Structural,0.022145212309549304,0.04597593360355191,0.6300406322819293,432,0.00041230226112021884
Turnover(rare),Vert_SD,sd,Structural,-0.04625225864839174,0.035071182941550226,0.18723233635660386,432,0.005492521560756097
Turnover(rare),Vert_SD,trend,Structural,-0.11972134890886635,0.036338131805669305,0.000985450783488961,432,0.03642261017509116
Turnover(rare),Vert_CV,mean,Structural,0.10023993407385891,0.04482166249382059,0.025324459679829325,432,0.0254743666287513
Turnover(rare),Vert_CV,sd,Structural,-0.039264727906586035,0.03517958169933386,0.26436963863556096,432,0.003959804586124935
Turnover(rare),Vert_CV,trend,Structural,-0.09837473013747092,0.03497042779554186,0.004906892176522931,432,0.0247215599717562
Turnover(rare),Gini,mean,Structural,0.11674354103561264,0.0449077977892596,0.009332503326119663,432,0.03437828193121211
Turnover(rare),Gini,sd,Structural,-0.026394911922589526,0.03454824485781546,0.44486633096420736,432,0.001790498630180763
Turnover(rare),Gini,trend,Structural,-0.09234046568163286,0.03476458738647163,0.007903503150252658,432,0.021803318849593124
Turnover(rare),VCI,mean,Structural,0.14068237276993434,0.03872341552421601,0.0002801392916976246,432,0.04986015635492418
Turnover(rare),VCI,sd,Structural,-0.04699100405625155,0.03706910132196108,0.20491951969280808,432,0.0018522324648061082
Turnover(rare),VCI,trend,Structural,-0.11686051476653272,0.038908530819978374,0.0026692189897639484,432,0.03462032248099109
Turnover(rare),FHD,mean,Structural,0.010283907670271479,0.045236763993616105,0.8201631231560521,432,8.873808599103958e-05
Turnover(rare),FHD,sd,Structural,-0.04741641868555391,0.04106145715645175,0.24818582437067427,432,0.005765382456992032
Turnover(rare),FHD,trend,Structural,-0.0708252915147921,0.04316781349210425,0.1008603788831541,432,0.012812954164540175
Turnover(rare),LAI,mean,Structural,0.0529659636654944,0.0584927026152681,0.3651931233591321,432,0.007172316616263357
Turnover(rare),LAI,sd,Structural,0.03836523085966279,0.040597313238252095,0.3446491948790017,432,0.003777995538550132
Turnover(rare),LAI,trend,Structural,0.045122944611676784,0.04085061004973303,0.26933973476885187,432,0.005222593104356124
Turnover(rare),Q95,mean,Structural,-0.023081289247649735,0.04493622442834323,0.6074998654472199,432,0.0013687001188765803
Turnover(rare),Q95,sd,Structural,0.05779656695662649,0.03963205483154734,0.14474993560217997,432,0.0027940354219330834
Turnover(rare),Q95,trend,Structural,-0.06864316041113956,0.04309766516468421,0.11121964874063754,432,0.012040599370555122
Turnover(rare),Ht_Ratio,mean,Structural,0.04985678295836108,0.05543153487397973,0.36842368924666546,432,0.0063645730538600875
Turnover(rare),Ht_Ratio,sd,Structural,-0.03887773438327756,0.03537532947382199,0.2717650167653961,432,0.003882088626783234
Turnover(rare),Ht_Ratio,trend,Structural,0.07856236299947318,0.040163361059594505,0.05045685777783602,432,0.015760192293172232
Turnover(rare),NDVI,mean,VI,0.0762632738038286,0.06598823749828614,0.24779974780848713,411,0.014541640901302836
Turnover(rare),NDVI,sd,VI,-0.04804370578196992,0.038433861184688695,0.21128643793342572,409,0.006080780811628545
Turnover(rare),NDVI,trend,VI,0.00026506318228616387,0.03746565164242702,0.9943551480560608,297,2.376006668080111e-07
Turnover(rare),EVI,mean,VI,0.11354355548981701,0.06841299848742406,0.09697922691478494,411,0.031774623060921485
Turnover(rare),EVI,sd,VI,-0.03924053129892753,0.039685772678496295,0.32277038478503606,409,0.0040588600061466345
Turnover(rare),EVI,trend,VI,-0.035020809150867895,0.03942041972291343,0.37432960478922817,297,0.0041417821634203295
Turnover(rare),ARVI,mean,VI,0.12664660319379956,0.06552988071973768,0.053278803266890266,411,0.039332085084180075
Turnover(rare),ARVI,sd,VI,0.01250209734992807,0.0342344050137174,0.7149688196962729,409,0.00041263818926929344
Turnover(rare),ARVI,trend,VI,-0.04615341098833468,0.03752909114427211,0.2187706638555268,297,0.007189481176175339
Turnover(rare),SAVI,mean,VI,0.11436715629129353,0.06863960813973533,0.09567404660822625,411,0.0322192016831415
Turnover(rare),SAVI,sd,VI,-0.05324640215715443,0.03961070717755618,0.17886993265753948,409,0.007463238135525566
Turnover(rare),SAVI,trend,VI,-0.030031670283575958,0.038795844444083516,0.4388745976282815,297,0.0008584551646682888
Nestedness(rare),Canopy_Ht,mean,Structural,0.2410064543314088,0.06199357369513677,0.00010123868749244386,432,0.06667279953298774
Nestedness(rare),Canopy_Ht,sd,Structural,-0.027068655403485745,0.05239287875885562,0.605402176635149,432,0.0008697726922134091
Nestedness(rare),Canopy_Ht,trend,Structural,0.05782346909430958,0.05755423528203946,0.3150519659676937,432,0.003963662818408248
Nestedness(rare),Max_Ht,mean,Structural,0.15124017261633455,0.06602950230713957,0.021992701470155644,432,0.026760586579504524
Nestedness(rare),Max_Ht,sd,Structural,-0.11011170786574513,0.058880998881043915,0.06147381889412869,432,0.014307649640396656
Nestedness(rare),Max_Ht,trend,Structural,0.08080573896844254,0.06675638998309909,0.22610358452784707,432,0.007719688163540775
Nestedness(rare),Rumple,mean,Structural,-0.07795710925018408,0.0865740865152315,0.367871771384616,432,0.007177983732358374
Nestedness(rare),Rumple,sd,Structural,0.0601193130835513,0.05775586556168791,0.2979120558034549,432,0.00428403326944943
Nestedness(rare),Rumple,trend,Structural,-0.03535978721427093,0.06359860301214516,0.5782219913444812,432,0.0014834340943182627
Nestedness(rare),Rugosity,mean,Structural,0.1371322357115071,0.05821996226955463,0.01850197531213158,432,0.017317691197122672
Nestedness(rare),Rugosity,sd,Structural,0.041111826019623765,0.055166294801193984,0.4561299710971377,432,0.0020054349416299268
Nestedness(rare),Rugosity,trend,Structural,0.1135614629238702,0.055527421002991725,0.040840856925227945,432,0.015228474425747655
Nestedness(rare),Deep_Gap,mean,Structural,0.0394097498767571,0.0878146991958875,0.6535881562623184,432,0.0018415623205704577
Nestedness(rare),Deep_Gap,sd,Structural,-0.07048579126256894,0.05710375774309372,0.2170740258772479,432,0.0058854604843248505
Nestedness(rare),Deep_Gap,trend,Structural,-0.010856383639286064,0.05958387903315357,0.855423127309068,432,0.0001399327729432163
Nestedness(rare),Vert_SD,mean,Structural,0.05595643652626141,0.06813542981503383,0.41150208628201523,432,0.0037098400135005516
Nestedness(rare),Vert_SD,sd,Structural,0.12729344576164076,0.05134181408993593,0.013162841192257146,432,0.019145767983427497
Nestedness(rare),Vert_SD,trend,Structural,0.13275564354600713,0.053768884955154826,0.0135489341173357,432,0.02078679997971588
Nestedness(rare),Vert_CV,mean,Structural,-0.3016765534958235,0.06276329589924146,1.5353711153490499e-06,432,0.08601157355882115
Nestedness(rare),Vert_CV,sd,Structural,-0.05117891226846583,0.051784125975014715,0.32299950000574007,432,0.003107493155007378
Nestedness(rare),Vert_CV,trend,Structural,0.1046488182353174,0.0516897252807154,0.04291282751554867,432,0.01295917501734313
Nestedness(rare),Gini,mean,Structural,-0.30962704895822524,0.06488234331863241,1.8228677386553714e-06,432,0.10712048482531697
Nestedness(rare),Gini,sd,Structural,-0.05893662145869085,0.0507928261003657,0.24591302000430415,432,0.004120371773874348
Nestedness(rare),Gini,trend,Structural,0.09286963996295565,0.05138436724587116,0.0707074098209138,432,0.010214405273480876
Nestedness(rare),VCI,mean,Structural,-0.26071234192366777,0.056457892094946685,3.877937674330583e-06,432,0.07815650124556986
Nestedness(rare),VCI,sd,Structural,0.040989976351582205,0.05230049913167756,0.43319287546052176,432,0.0015701286749666625
Nestedness(rare),VCI,trend,Structural,0.08389952450686992,0.0577193140348502,0.1460633426288638,432,0.00832973146519247
Nestedness(rare),FHD,mean,Structural,0.0749628311699761,0.06743522578061807,0.2662984729037521,432,0.006647234696062264
Nestedness(rare),FHD,sd,Structural,0.04487415870221033,0.060478955584258365,0.45809962120848413,432,0.002388339429689976
Nestedness(rare),FHD,trend,Structural,0.07017042348782956,0.05428712375264091,0.19615653220256224,432,0.0045786883353363715
Nestedness(rare),LAI,mean,Structural,0.07448779475142174,0.0860807778086188,0.38686077909475614,432,0.006556550769479799
Nestedness(rare),LAI,sd,Structural,-0.061977335608339804,0.059727030307357605,0.29942069039497543,432,0.004551630139197629
Nestedness(rare),LAI,trend,Structural,-0.14862305200029405,0.059763244467777504,0.012887471083018277,432,0.025921520397358525
Nestedness(rare),Q95,mean,Structural,0.17205366623827806,0.0656130918154001,0.008735235887570062,432,0.034488972717853734
Nestedness(rare),Q95,sd,Structural,-0.07935037489668102,0.058226435118772304,0.1729488585649136,432,0.007453012326134867
Nestedness(rare),Q95,trend,Structural,0.10349352904295105,0.06340984632173853,0.10265071949580822,432,0.012636075116104798
Nestedness(rare),Ht_Ratio,mean,Structural,-0.2331138903594998,0.08085465242473268,0.003937539317107225,432,0.06171129789711225
Nestedness(rare),Ht_Ratio,sd,Structural,0.13049843221195848,0.05174165050962025,0.011665131324978175,432,0.02011222678953511
Nestedness(rare),Ht_Ratio,trend,Structural,-0.21923081883938744,0.058401695339042936,0.00017414367980418173,432,0.05568773367191795
Nestedness(rare),NDVI,mean,VI,-0.03968938232664747,0.0985347356486468,0.6870984164033976,411,0.0017892510823249185
Nestedness(rare),NDVI,sd,VI,0.025986076980799497,0.0584686727319274,0.656721283954512,409,0.000772791825372105
Nestedness(rare),NDVI,trend,VI,-0.03390595101094922,0.06457077704467507,0.5995154417994031,297,0.0013071556289003848
Nestedness(rare),EVI,mean,VI,-0.060903837641189895,0.10231090448715728,0.5516550002137668,411,0.004205079536825782
Nestedness(rare),EVI,sd,VI,-0.005660440274518477,0.060343352490943025,0.9252649537140487,409,3.667718108309556e-05
Nestedness(rare),EVI,trend,VI,-0.0023066575811391135,0.06806519889473768,0.9729657110883579,297,6.051921300761794e-06
Nestedness(rare),ARVI,mean,VI,-0.09742515711485943,0.09804087169102568,0.32035929195937785,411,0.010706862636238653
Nestedness(rare),ARVI,sd,VI,-0.02029764213339923,0.0518272625389379,0.6953240425818044,409,0.00037962297139356794
Nestedness(rare),ARVI,trend,VI,0.023471537374922212,0.0648660093795144,0.7174667538698558,297,0.0006265218196754575
Nestedness(rare),SAVI,mean,VI,-0.0650248721020396,0.10264655077588997,0.5264181060249767,411,0.0047910940306532404
Nestedness(rare),SAVI,sd,VI,0.0046880612062556205,0.06029182757457064,0.9380220172349424,409,2.515846136043574e-05
Nestedness(rare),SAVI,trend,VI,-0.0014745858149370823,0.06710715147417604,0.9824690132772326,297,2.4732480062194588e-06
